Team Name,Injury Sub (any value),Golfer1,Golfer2,Golfer3,Golfer4,Golfer5,Golfer6,Golfer7,Golfer8,Golfer9,Golfer10
7,Aaron Rai,Xander Schauffele,Akshay Bhatia,Min Woo Lee,Christiaan Bezuidenhout,Denny McCarthy,Brian Harman,Alex Noren,,,
#winning,Patrick Cantlay,Scottie Scheffler,Hideki Matsuyama,Jon Rahm,,,,,,,
$14 the Hard Way,Justin Rose,Ludvig Aberg,Sahith Theegala,Tom Kim,Nick Dunlap,Brooks Koepka,Bryson DeChambeau,,,,
19th Hole,Hideki Matsuyama,Collin Morikawa,Ludvig Aberg,Aaron Rai,Bryson DeChambeau,Michael Thorbjornsen,Karl Vilips,,,,
2BallChinPutter,Xander Schauffele,Scottie Scheffler,Rasmus Hojgaard,Rickie Fowler,Matt McCarty,Bryson DeChambeau,Takumi Kanaya,Michael Thorbjornsen,,,
3 Finger Pour,Justin Rose,Jhonattan Vegas,Bud Cauley,Russell Henley,Brian Harman,Tom Hoge,Tom Kim,Sahith Theegala,Harris English,Eric Cole,
6 Footer,Keegan Bradley,Xander Schauffele,Ludvig Aberg,Matt Fitzpatrick,Christiaan Bezuidenhout,,,,,,
7 Iron to the Greener,Alex Noren,Scottie Scheffler,Maverick McNealy,Sepp Straka,Ben Griffin,Austin Eckroat,Chris Kirk,,,,
72 Holes Guaranteed,Jason Day,Rory McIlroy,Cameron Young,Byeong Hun An,Nick Dunlap,Nicolai Hojgaard,Brooks Koepka,Patrick Rodgers,,,
A Rai of Hoge,Min Woo Lee,Collin Morikawa,Hideki Matsuyama,Cam Davis,Aaron Rai,Tom Hoge,Matt Kuchar,,,,
Above Par,Jason Day,Xander Schauffele,Russell Henley,Billy Horschel,Robert MacIntyre,Cam Davis,Brian Harman,,,,
BallsDeep,Byeong Hun An,Sahith Theegala,Shane Lowry,Maverick McNealy,Hideki Matsuyama,Wyndham Clark,,,,,
BandonDunes,Alex Noren,Sahith Theegala,Tom Kim,Max Greyserman,Maverick McNealy,Austin Eckroat,Rickie Fowler,Michael Thorbjornsen,Thomas Detry,Luke Clanton,
Bears Birdie Club,Max Greyserman,Ludvig Aberg,Tony Finau,Nick Dunlap,Matt McCarty,Taylor Pendrith,Michael Thorbjornsen,Nico Echavarria,Karl Vilips,,
Berkley 8,Jhonattan Vegas,Tony Finau,Sam Burns,Keegan Bradley,Maverick McNealy,Rasmus Hojgaard,Rickie Fowler,Matt McCarty,Adam Hadwin,Matteo Manassero,William Mouw
Birdie Boys,Wyndham Clark,Xander Schauffele,Ludvig Aberg,Keegan Bradley,Brian Harman,,,,,,
Blurry Golfers,Tom Hoge,Collin Morikawa,Viktor Hovland,Harris English,Min Woo Lee,Chris Kirk,Doug Ghim,,,,
Bob Loblaw,Justin Rose,Adam Hadwin,Rickie Fowler,Chris Kirk,Joel Dahmen,Viktor Hovland,Will Zalatoris,Matt Fitzpatrick,Kevin Yu,Matthieu Pavon,
Busch League,Eric Cole,Xander Schauffele,Tommy Fleetwood,Robert MacIntyre,Aaron Rai,Brian Harman,Nick Dunlap,,,,
Crackem 94,Aaron Rai,Scottie Scheffler,Russell Henley,Tom Hoge,Nick Taylor,Kevin Yu,Chan Kim,,,,
Double Eagles,Maverick McNealy,Scottie Scheffler,Tom Kim,Cam Davis,Jon Rahm,,,,,,
East West Mics,Matteo Manassero,Xander Schauffele,Will Zalatoris,Rasmus Hojgaard,Frankie Capan III,Aldrich Potgieter,Karl Vilips,Matthew Riedel,Braden Thornberry,Takumi Kanaya,William Mouw
El Quatro,Xander Schauffele,Scottie Scheffler,Cameron Young,Jon Rahm,Tom Hoge,,,,,,
Ex-Sepp-tional,Scottie Scheffler,Xander Schauffele,Ludvig Aberg,Davis Thompson,Austin Eckroat,Ben Griffin,,,,,
Fore Right,Jordan Spieth,Ludvig Aberg,Viktor Hovland,Robert MacIntyre,Brooks Koepka,Bryson DeChambeau,Lucas Glover,Aaron Rai,,,
