Tourney #,Period,Dates,Payout Tier,Tournament,Pay1,Pay2,Pay3,Pay4,Pay5,Pay6,Pay7
1,1,Jan 9 - 12,1,Sony Open in Hawaii,35,25,15,10,5,0,0
2,1,Jan 16 - 19,1,The American Express,35,25,15,10,5,0,0
3,1,Jan 22 - 25,1,Farmers Insurance Open,35,25,15,10,5,0,0
4,1,Jan 30 - Feb 2,1,AT&T Pebble Beach Pro-Am,35,25,15,10,5,0,0
5,1,Feb 6 - 9,1,WM Phoenix Open,35,25,15,10,5,0,0
6,1,Feb 13 - 16,1,The Genesis Invitational,35,25,15,10,5,0,0
7,1,Feb 20 - 23,1,Mexico Open at VidantaWorld,35,25,15,10,5,0,0
8,1,Feb 27 - Mar 2,1,Cognizant Classic in The Palm Beaches,35,25,15,10,5,0,0
9,1,Mar 6 - 9,0,Puerto Rico Open,0,0,0,0,0,0,0
10,1,Mar 6 - 9,1,Arnold Palmer Invitational,35,25,15,10,5,0,0
11,1,Mar 13 - 16,2,THE PLAYERS Championship,50,35,25,15,10,5,0
12,1,Mar 20 - 23,1,Valspar Championship,35,25,15,10,5,0,0
13,1,Mar 27 - 30,1,Texas Children's Houston Open,35,25,15,10,5,0,0
14,1,Apr 3 - 6,1,Valero Texas Open,35,25,15,10,5,0,0
15,1,Apr 10 - 13,3,Masters Tournament,60,50,35,25,15,10,5
16,2,Apr 17 - 20,0,Corales Puntacana Championship,0,0,0,0,0,0,0
17,2,Apr 17 - 20,1,RBC Heritage,35,25,15,10,5,0,0
18,2,Apr 24 - 27,1,Zurich Classic of New Orleans,35,25,15,10,5,0,0
19,2,May 1 - 4,1,THE CJ CUP Byron Nelson,35,25,15,10,5,0,0
20,2,May 8 - 11,0,Myrtle Beach Classic,0,0,0,0,0,0,0
21,2,May 8 - 11,1,Truist Championship,35,25,15,10,5,0,0
22,2,May 15 - 18,3,PGA Championship,60,50,35,25,15,10,5
23,2,May 22 - 25,1,Charles Schwab Challenge,35,25,15,10,5,0,0
24,2,May 29 - Jun 1,1,The Memorial Tournament,35,25,15,10,5,0,0
25,2,Jun 5 - 8,1,RBC Canadian Open,35,25,15,10,5,0,0
26,2,Jun 12 - 15,3,U.S. Open,60,50,35,25,15,10,5
27,2,Jun 19 - 22,1,Travelers Championship,35,25,15,10,5,0,0
28,3,Jun 26 - 29,1,Rocket Mortgage Classic,35,25,15,10,5,0,0
29,3,Jul 3 - 6,1,John Deere Classic,35,25,15,10,5,0,0
30,3,Jul 10 - 13,0,ISCO Championship,0,0,0,0,0,0,0
31,3,Jul 10 - 13,1,Genesis Scottish Open,35,25,15,10,5,0,0
32,3,Jul 17 - 20,0,Barracuda Championship,0,0,0,0,0,0,0
33,3,Jul 17 - 20,3,The Open,60,50,35,25,15,10,5
34,3,Jul 24 - 27,1,3M Open,35,25,15,10,5,0,0
35,3,Jul 31 - Aug 3,1,Wyndham Championship,35,25,15,10,5,0,0
36,3,Aug 7 - 10,2,FedEx St. Jude Championship,50,35,25,15,10,5,0
37,3,Aug 14 - 17,2,BMW Championship,50,35,25,15,10,5,0
38,3,Aug 21 - 24,2,TOUR Championship,50,35,25,15,10,5,0
