Tourney_Nb,Team Name,InjurySub,Golfer1,Golfer2,Golfer3,Golfer4,Golfer5,Golfer6,Golfer7,Golfer8,Golfer9,Golfer10
1,#winning,Patrick Cantlay,Scottie Scheffler,Hideki Matsuyama,Jon Rahm,,,,,,,
1,#winning,,,132675.0,,,,,,,,
1,$14 the Hard Way,Justin Rose,Ludvig Aberg,Sahith Theegala,Tom Kim,Nick Dunlap,Brooks Koepka,Bryson DeChambeau,,,,
1,$14 the Hard Way,,,36975.0,18444.0,195025.0,,,,,,
1,19th Hole,Hideki Matsuyama,Collin Morikawa,Ludvig Aberg,Aaron Rai,Bryson DeChambeau,Michael Thorbjornsen,Karl Vilips,,,,
1,19th Hole,,,,,,,,,,,
1,2BallChinPutter,Xander Schauffele,Scottie Scheffler,Rasmus Hojgaard,Rickie Fowler,Matt McCarty,Bryson DeChambeau,Takumi Kanaya,Michael Thorbjornsen,,,
1,2BallChinPutter,,,,,18444.0,,,,,,
1,3 Finger Pour,Justin Rose,Jhonattan Vegas,Bud Cauley,Russell Henley,Brian Harman,Tom Hoge,Tom Kim,Sahith Theegala,Harris English,Eric Cole,
1,3 Finger Pour,,,52138.0,195025.0,80088.0,24382.0,18444.0,36975.0,,356700.0,
1,6 Footer,Keegan Bradley,Xander Schauffele,Ludvig Aberg,Matt Fitzpatrick,Christiaan Bezuidenhout,,,,,,
1,6 Footer,,,,,,,,,,,
1,7,Aaron Rai,Xander Schauffele,Akshay Bhatia,Min Woo Lee,Christiaan Bezuidenhout,Denny McCarthy,Brian Harman,Alex Noren,,,
1,7,,,,,,132675.0,80088.0,,,,
1,7 Iron to the Greener,Alex Noren,Scottie Scheffler,Maverick McNealy,Sepp Straka,Ben Griffin,Austin Eckroat,Chris Kirk,,,,
1,7 Iron to the Greener,,,24382.0,52138.0,24382.0,,,,,,
1,72 Holes Guaranteed,Jason Day,Rory McIlroy,Cameron Young,Byeong Hun An,Nick Dunlap,Nicolai Hojgaard,Brooks Koepka,Patrick Rodgers,,,
1,72 Holes Guaranteed,,,,,195025.0,,,,,,
1,A Rai of Hoge,Min Woo Lee,Collin Morikawa,Hideki Matsuyama,Cam Davis,Aaron Rai,Tom Hoge,Matt Kuchar,,,,
1,A Rai of Hoge,,,132675.0,,,24382.0,80088.0,,,,
1,Above Par,Jason Day,Xander Schauffele,Russell Henley,Billy Horschel,Robert MacIntyre,Cam Davis,Brian Harman,,,,
1,Above Par,,,195025.0,,20387.0,,80088.0,,,,
1,BallsDeep,Byeong Hun An,Sahith Theegala,Shane Lowry,Maverick McNealy,Hideki Matsuyama,Wyndham Clark,,,,,
1,BallsDeep,,36975.0,,24382.0,132675.0,,,,,,
1,BandonDunes,Alex Noren,Sahith Theegala,Tom Kim,Max Greyserman,Maverick McNealy,Austin Eckroat,Rickie Fowler,Michael Thorbjornsen,Thomas Detry,Luke Clanton,
1,BandonDunes,,36975.0,18444.0,,24382.0,,,,20387.0,,
1,Bears Birdie Club,Max Greyserman,Ludvig Aberg,Tony Finau,Nick Dunlap,Matt McCarty,Taylor Pendrith,Michael Thorbjornsen,Nico Echavarria,Karl Vilips,,
1,Bears Birdie Club,,,,195025.0,18444.0,24382.0,,948300.0,,,
1,Berkley 8,Jhonattan Vegas,Tony Finau,Sam Burns,Keegan Bradley,Maverick McNealy,Rasmus Hojgaard,Rickie Fowler,Matt McCarty,Adam Hadwin,Matteo Manassero,William Mouw
1,Berkley 8,,,,283838.0,24382.0,,,18444.0,19314.0,,
1,Birdie Boys,Wyndham Clark,Xander Schauffele,Ludvig Aberg,Keegan Bradley,Brian Harman,,,,,,
