Team Name,Golfer0,Golfer1,Golfer2,Golfer3,Golfer4,Golfer5,Golfer6,Golfer7,Golfer8,Golfer9,Golfer10,Injury1,Injury2,Injury3,Injury4,Injury5,Injury6,Injury7,Injury8,Injury9,Injury10,Max_Injury_Salary,Sub_Salary,Earnings0,Earnings1,Earnings2,Earnings3,Earnings4,Earnings5,Earnings6,Earnings7,Earnings8,Earnings9,Earnings10,Tourney_Nb,Earn_Sum_Tourney,Earn_Sum_YTD,Payout_Sum_YTD,Period,Dates,Payout Tier,Tournament,Pay1,Pay2,Pay3,Pay4,Pay5,Pay6,Pay7,tourney_rank_min,tourney_rank_reverse,tourney_rank_max,pay_sum,weekly_payout
#winning,Patrick Cantlay,Scottie Scheffler,Hideki Matsuyama,Jon Rahm,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,,132675.0,,,,,,,,,1,132675.0,132675.0,0.0,1,Jan 9 - 12,1,Sony Open in Hawaii,35,25,15,10,5,0,0,41.0,31.0,42.0,0,0.0
#winning,Patrick Cantlay,Scottie Scheffler,Hideki Matsuyama,Jon Rahm,,,,,,,,9.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.25,4.0,339900.0,,,,,,,,,,,2,339900.0,472575.0,0.0,1,Jan 16 - 19,1,The American Express,35,25,15,10,5,0,0,22.0,50.0,23.0,0,0.0
#winning,Patrick Cantlay,Scottie Scheffler,Hideki Matsuyama,Jon Rahm,,,,,,,,9.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.25,4.0,,,52080.0,,,,,,,,,3,52080.0,524655.0,0.0,1,Jan 22 - 25,1,Farmers Insurance Open,35,25,15,10,5,0,0,41.0,29.0,44.0,0,0.0
$14 the Hard Way,Justin Rose,Ludvig Aberg,Sahith Theegala,Tom Kim,Nick Dunlap,Brooks Koepka,Bryson DeChambeau,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,,36975.0,18444.0,195025.0,,,,,,,1,250444.0,250444.0,0.0,1,Jan 9 - 12,1,Sony Open in Hawaii,35,25,15,10,5,0,0,32.0,41.0,32.0,0,0.0
$14 the Hard Way,Justin Rose,Ludvig Aberg,Sahith Theegala,Tom Kim,Nick Dunlap,Brooks Koepka,Bryson DeChambeau,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,,,0.0,42093.0,,,,,,,2,42093.0,292537.0,0.0,1,Jan 16 - 19,1,The American Express,35,25,15,10,5,0,0,56.0,16.0,57.0,0,0.0
$14 the Hard Way,Justin Rose,Ludvig Aberg,Sahith Theegala,Tom Kim,Nick Dunlap,Brooks Koepka,Bryson DeChambeau,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,33945.0,22646.0,,,,,,,,,3,56591.0,349128.0,0.0,1,Jan 22 - 25,1,Farmers Insurance Open,35,25,15,10,5,0,0,40.0,33.0,40.0,0,0.0
19th Hole,Hideki Matsuyama,Collin Morikawa,Ludvig Aberg,Aaron Rai,Bryson DeChambeau,Michael Thorbjornsen,Karl Vilips,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,,,,,,,,,,,1,0.0,0.0,0.0,1,Jan 9 - 12,1,Sony Open in Hawaii,35,25,15,10,5,0,0,65.0,1.0,72.0,0,0.0
19th Hole,Hideki Matsuyama,Collin Morikawa,Ludvig Aberg,Aaron Rai,Bryson DeChambeau,Michael Thorbjornsen,Karl Vilips,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,,,,,0.0,,,,,,2,0.0,0.0,0.0,1,Jan 16 - 19,1,The American Express,35,25,15,10,5,0,0,62.0,1.0,72.0,0,0.0
19th Hole,Hideki Matsuyama,Collin Morikawa,Ludvig Aberg,Aaron Rai,Bryson DeChambeau,Michael Thorbjornsen,Karl Vilips,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,,33945.0,0.0,,0.0,,,,,,3,33945.0,33945.0,0.0,1,Jan 22 - 25,1,Farmers Insurance Open,35,25,15,10,5,0,0,46.0,18.0,55.0,0,0.0
2BallChinPutter,Xander Schauffele,Scottie Scheffler,Rasmus Hojgaard,Rickie Fowler,Matt McCarty,Bryson DeChambeau,Takumi Kanaya,Michael Thorbjornsen,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,,,,18444.0,,0.0,,,,,1,18444.0,18444.0,0.0,1,Jan 9 - 12,1,Sony Open in Hawaii,35,25,15,10,5,0,0,62.0,10.0,63.0,0,0.0
2BallChinPutter,Xander Schauffele,Scottie Scheffler,Rasmus Hojgaard,Rickie Fowler,Matt McCarty,Bryson DeChambeau,Takumi Kanaya,Michael Thorbjornsen,,,,9.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.25,6.5,,,,83270.0,0.0,,0.0,0.0,,,,2,83270.0,101714.0,0.0,1,Jan 16 - 19,1,The American Express,35,25,15,10,5,0,0,47.0,25.0,48.0,0,0.0
2BallChinPutter,Xander Schauffele,Scottie Scheffler,Rasmus Hojgaard,Rickie Fowler,Matt McCarty,Bryson DeChambeau,Takumi Kanaya,Michael Thorbjornsen,,,,9.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.25,6.5,,,,,0.0,,0.0,0.0,,,,3,0.0,101714.0,0.0,1,Jan 22 - 25,1,Farmers Insurance Open,35,25,15,10,5,0,0,66.0,1.0,72.0,0,0.0
3 Finger Pour,Justin Rose,Jhonattan Vegas,Bud Cauley,Russell Henley,Brian Harman,Tom Hoge,Tom Kim,Sahith Theegala,Harris English,Eric Cole,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,,52138.0,195025.0,80088.0,24382.0,18444.0,36975.0,0.0,356700.0,,1,763752.0,763752.0,0.0,1,Jan 9 - 12,1,Sony Open in Hawaii,35,25,15,10,5,0,0,10.0,63.0,10.0,0,0.0
3 Finger Pour,Justin Rose,Jhonattan Vegas,Bud Cauley,Russell Henley,Brian Harman,Tom Hoge,Tom Kim,Sahith Theegala,Harris English,Eric Cole,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,,,0.0,57640.0,0.0,,27236.0,18304.0,,2,103180.0,866932.0,0.0,1,Jan 16 - 19,1,The American Express,35,25,15,10,5,0,0,44.0,29.0,44.0,0,0.0
3 Finger Pour,Justin Rose,Jhonattan Vegas,Bud Cauley,Russell Henley,Brian Harman,Tom Hoge,Tom Kim,Sahith Theegala,Harris English,Eric Cole,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,33945.0,,,,,,22646.0,1674000.0,19716.0,,3,1750307.0,2617239.0,35.0,1,Jan 22 - 25,1,Farmers Insurance Open,35,25,15,10,5,0,0,1.0,72.0,1.0,35,35.0
