Team Name,Injury Sub,Golfer 1,Golfer 2,Golfer 3,Golfer 4,Golfer 5,Golfer 6,Golfer 7,Golfer 8,Golfer 9,Golfer 10
#winning,Hideki Matsuyama,Xander Schauffele,Collin Morikawa,Robert MacIntyre,Sungjae Im,,,,,,
$14 the Hard Way,Bryson DeChambeau,Brooks Koepka,J.J. Spaun,Tom Kim,Tony Finau,Cameron Young,Akshay Bhatia,Nick Dunlap,,,
007,Justin Rose,Cameron Young,Ben Griffin,Sepp Straka,Si Woo Kim,Brooks Koepka,Sami Valimaki,Byeong Hun An,,,
10 PGA Tour Members,Cam Davis,Cameron Young,Corey Conners,Kurt Kitayama,Max Greyserman,Nico Echavarria,Ryan Gerard,Brooks Koepka,Rico Hoey,Keith Mitchell,Jacob Bridgeman
19th Hole,Rory McIlroy,Scottie Scheffler,Akshay Bhatia,Brooks Koepka,Luke Clanton,,,,,,
2Ball Chin Putters,Rory McIlroy,Scottie Scheffler,Sahith Theegala,Taylor Pendrith,Cam Davis,,,,,,
4 Iron,Collin Morikawa,Russell Henley,Brooks Koepka,Corey Conners,Justin Rose,J.T. Poston,Tom Kim,Denny McCarthy,Nick Dunlap,,
4th and Spencer,Akshay Bhatia,Rory McIlroy,Garrick Higgo,Harris English,Justin Thomas,Sami Valimaki,Neal Shipley,Brooks Koepka,Luke Clanton,,
6 Footer,Corey Conners,Xander Schauffele,J.J. Spaun,Akshay Bhatia,Aldrich Potgieter,Bryson DeChambeau,Brooks Koepka,,,,
7 Iron to the Greener,Aldrich Potgieter,Scottie Scheffler,Ben Griffin,Adrian Meronk,,,,,,,
Above Par,Corey Conners,Tommy Fleetwood,Russell Henley,Robert MacIntyre,Johnny Keefer,Neal Shipley,,,,,
Balls Deep,Rory McIlroy,Hideki Matsuyama,Collin Morikawa,Justin Thomas,Lucas Glover,Billy Horschel,Michael Kim,Byeong Hun An,Nick Dunlap,Garrick Higgo,
Bedfed Express,Justin Rose,Rory McIlroy,Ben Griffin,J.J. Spaun,Jake Knapp,Neal Shipley,,,,,
Berkley 8,Cam Davis,Tommy Fleetwood,J.J. Spaun,Jon Rahm,Bryson DeChambeau,Si Woo Kim,Brooks Koepka,Nick Taylor,,,
Blurry Creatures & Golfers,Nick Dunlap,Scottie Scheffler,Max Homa,Jake Knapp,Brooks Koepka,Erik van Rooyen,,,,,
