Golfer,Salary,Owners
Scottie Scheffler,14.5,9
Rory McIlroy,8.5,9
Tommy Fleetwood,7.75,13
Xander Schauffele,7.75,5
Ludvig Aberg,7.75,4
Russell Henley,5.75,10
Cameron Young,5.75,8
Viktor Hovland,5.75,1
Ben Griffin,5,10
Collin Morikawa,5,10
Patrick Cantlay,5,2
Sam Burns,4.75,3
Matt Fitzpatrick,4.75,2
Hideki Matsuyama,4.5,4
J.J. Spaun,4.25,17
Robert MacIntyre,4.25,7
Akshay Bhatia,3.75,11
Sepp Straka,3.75,9
Justin Thomas,3.75,7
Maverick McNealy,3.75,5
Harris English,3.75,4
Keegan Bradley,3.75,3
Corey Conners,3.5,7
Shane Lowry,3.5,4
Aaron Rai,3.25,2
Chris Gotterup,3,6
Jordan Spieth,3,6
Sungjae Im,3,6
Michael Thorbjornsen,3,5
Wyndham Clark,3,1
Will Zalatoris,2.75,6
Justin Rose,2.75,3
Alex Noren,2.75,2
Michael Brennan,2.5,8
Tony Finau,2.5,6
Sahith Theegala,2.5,5
Rasmus Hojgaard,2.5,4
Si Woo Kim,2.5,3
Jason Day,2.5,2
Max Homa,2.25,10
Brian Harman,2.25,6
Harry Hall,2.25,6
Kurt Kitayama,2.25,4
Denny McCarthy,2.25,3
Max Greyserman,2.25,3
Min Woo Lee,2.25,3
Marco Penge,2.25,2
Adam Scott,2.25,1
Nicolai Hojgaard,2.25,1
Taylor Pendrith,2.25,1
Rasmus Neergaard-Petersen,2.25,0
Daniel Berger,2,3
J.T. Poston,2,2
Rickie Fowler,1.75,10
Tom Kim,1.75,6
Matt McCarty,1.75,2
Kristoffer Reitan,1.75,1
Aldrich Potgieter,1.5,9
Jake Knapp,1.5,9
Johnny Keefer,1.5,9
Nick Taylor,1.5,9
Bryson DeChambeau,1.5,7
Chris Kirk,1.5,5
Andrew Novak,1.5,4
Michael Kim,1.5,4
Nico Echavarria,1.5,4
Jon Rahm,1.5,3
Ryan Fox,1.5,3
Davis Thompson,1.5,1
Billy Horschel,1.25,7
Bud Cauley,1.25,6
Pierceson Coody,1.25,6
Ryan Gerard,1.25,5
Byeong Hun An,1.25,3
Christiaan Bezuidenhout,1.25,3
Brooks Koepka,1,42
Rico Hoey,1,9
Nick Dunlap,1,7
Garrick Higgo,1,5
Sami Valimaki,0.75,15
Sam Stevens,0.75,9
Neal Shipley,0.75,8
Eric Cole,0.75,7
Jacob Bridgeman,0.75,7
Tom Hoge,0.75,7
Keith Mitchell,0.75,6
Lucas Glover,0.75,5
Cam Davis,0.75,4
Tyrrell Hatton,0.75,4
Kevin Yu,0.75,3
Erik Van Rooyen,0.75,2
Matthieu Pavon,0.75,2
Jhonattan Vegas,0.75,1
Max McGreevy,0.75,1
Matt Wallace,0.75,0
Vince Whaley,0.75,0
Luke Clanton,0.5,4
William Mouw,0.5,2
Brian Campbell,0.5,2
Joe Highsmith,0.5,2
Emiliano Grillo,0.5,2
Adrien Dumont De Chassart,0.5,1
Alex Smalley,0.5,1
Andrew Putnam,0.5,1
Austin Eckroat,0.5,1
Beau Hossler,0.5,1
Chandler Blanchet,0.5,1
Christo Lamprecht,0.5,1
David Ford,0.5,1
Davis Chatfield,0.5,1
Davis Riley,0.5,1
Gary Woodland,0.5,1
Jackson Koivun,0.5,1
Karl Vilips,0.5,1
Mac Meissner,0.5,1
Patrick Rodgers,0.5,1
Sam Ryder,0.5,1
Seamus Power,0.5,1
Stephan Jaeger,0.5,1
Thomas Detry,0.5,1
Thorbjorn Olesen,0.5,1
Adrian Meronk,0.5,1
Webb Simpson,0.5,0
